cod_ocorrencia;roubo_em_coletivo
1;8
2;12
3;4
4;22
5;0
6;10
7;10
8;5
9;4
10;6
11;2
12;7
13;15
14;8
15;4
16;3
17;40
18;14
19;4
20;3
21;6
22;0
23;7
24;12
25;21
26;9
27;0
28;19
29;4
30;13
31;26
32;13
33;10
34;6
35;12
36;8
37;4
38;7
39;0
40;0
41;0
42;8
43;1
44;3
45;4
46;6
47;4
48;9
49;29
50;22
51;2
52;9
53;7
54;2
55;4
56;29
57;12
58;8
59;29
60;11
61;20
62;15
63;29
64;0
65;3
66;3
67;0
68;3
69;1
70;0
71;0
72;1
73;0
74;0
75;0
76;0
77;0
78;0
79;2
80;0
81;3
82;0
83;0
84;0
85;0
86;0
87;2
88;0
89;0
90;1
91;0
92;0
93;0
94;1
95;0
96;0
97;2
98;1
99;1
100;0
101;4
102;1
103;0
104;0
105;0
106;0
107;0
108;0
109;0
110;0
111;0
112;0
113;1
114;5
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;2
125;0
126;0
127;13
128;13
129;6
130;14
131;0
132;19
133;23
134;8
135;5
136;5
137;2
138;12
139;10
140;15
141;3
142;8
143;42
144;14
145;11
146;7
147;5
148;0
149;4
150;12
151;16
152;8
153;0
154;5
155;10
156;11
157;27
158;21
159;20
160;13
161;14
162;12
163;4
164;1
165;1
166;1
167;0
168;3
169;7
170;3
171;0
172;4
173;2
174;8
175;45
176;21
177;1
178;5
179;18
180;3
181;4
182;15
183;17
184;15
185;24
186;4
187;9
188;14
189;19
190;6
191;3
192;1
193;0
194;4
195;1
196;0
197;0
198;3
199;0
200;0
201;0
202;0
203;0
204;0
205;0
206;0
207;0
208;0
209;0
210;3
211;0
212;0
213;0
214;0
215;0
216;2
217;0
218;0
219;0
220;3
221;0
222;1
223;4
224;0
225;0
226;0
227;0
228;0
229;0
230;0
231;0
232;0
233;0
234;0
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0
249;0
250;4
251;0
252;0
253;4
254;15
255;6
256;7
257;0
258;10
259;7
260;2
261;3
262;1
263;4
264;9
265;7
266;1
267;3
268;5
269;33
270;11
271;7
272;4
273;4
274;0
275;3
276;15
277;33
278;8
279;1
280;8
281;12
282;19
283;27
284;19
285;8
286;6
287;14
288;18
289;7
290;7
291;0
292;2
293;0
294;6
295;10
296;10
297;1
298;8
299;3
300;13
301;23
302;15
303;1
304;4
305;13
306;5
307;2
308;20
309;15
310;16
311;37
312;10
313;26
314;15
315;21
316;7
317;4
318;4
319;1
320;3
321;2
322;0
323;0
324;7
325;0
326;0
327;0
328;0
329;0
330;0
331;0
332;0
333;2
334;1
335;0
336;7
337;0
338;0
339;0
340;0
341;1
342;0
343;0
344;0
345;0
346;1
347;2
348;0
349;5
350;0
351;0
352;0
353;4
354;0
355;0
356;0
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;1
365;2
366;0
367;0
368;0
369;0
370;0
371;0
372;0
373;0
374;0
375;0
376;5
377;0
378;0
379;10
380;10
381;3
382;9
383;0
384;5
385;5
386;3
387;2
388;3
389;11
390;10
391;8
392;4
393;2
394;3
395;19
396;13
397;9
398;4
399;2
400;0
401;7
402;9
403;23
404;21
405;0
406;12
407;17
408;22
409;36
410;19
411;14
412;12
413;26
414;14
415;8
416;0
417;3
418;0
419;1
420;0
421;7
422;4
423;4
424;3
425;4
426;7
427;2
428;32
429;12
430;1
431;2
432;14
433;1
434;1
435;14
436;16
437;7
438;21
439;8
440;13
441;8
442;10
443;3
444;3
445;9
446;0
447;4
448;2
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;3
461;1
462;1
463;2
464;0
465;0
466;0
467;0
468;2
469;1
470;0
471;0
472;0
473;3
474;1
475;0
476;7
477;1
478;1
479;0
480;1
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;7
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;2
504;0
505;0
506;5
507;10
508;2
509;8
510;1
511;12
512;5
513;3
514;4
515;1
516;5
517;17
518;15
519;5
520;1
521;4
522;17
523;14
524;11
525;8
526;4
527;0
528;10
529;10
530;22
531;9
532;1
533;18
534;14
535;19
536;24
537;12
538;10
539;11
540;21
541;15
542;2
543;0
544;6
545;0
546;1
547;0
548;8
549;12
550;8
551;1
552;5
553;2
554;9
555;32
556;18
557;0
558;5
559;12
560;2
561;2
562;16
563;7
564;7
565;27
566;13
567;21
568;14
569;12
570;7
571;4
572;5
573;0
574;3
575;5
576;0
577;0
578;1
579;0
580;0
581;1
582;0
583;0
584;0
585;0
586;0
587;2
588;0
589;1
590;2
591;0
592;0
593;0
594;0
595;0
596;4
597;0
598;0
599;0
600;9
601;2
602;4
603;4
604;1
605;1
606;0
607;1
608;0
609;0
610;0
611;0
612;0
613;0
614;0
615;0
616;0
617;0
618;0
619;8
620;4
621;0
622;0
623;0
624;0
625;0
626;0
627;0
628;0
629;2
630;2
631;0
632;0
633;4
634;3
635;1
636;15
637;0
638;5
639;4
640;1
641;5
642;0
643;10
644;8
645;11
646;2
647;2
648;2
649;38
650;9
651;2
652;4
653;1
654;0
655;4
656;8
657;16
658;6
659;0
660;23
661;5
662;13
663;21
664;16
665;8
666;8
667;22
668;16
669;3
670;0
671;4
672;0
673;4
674;0
675;4
676;7
677;6
678;4
679;4
680;3
681;3
682;18
683;18
684;0
685;2
686;14
687;2
688;2
689;31
690;8
691;4
692;22
693;5
694;13
695;5
696;13
697;5
698;6
699;4
700;0
701;6
702;1
703;0
704;0
705;0
706;0
707;0
708;0
709;0
710;0
711;0
712;0
713;0
714;2
715;0
716;0
717;2
718;0
719;0
720;0
721;0
722;0
723;0
724;0
725;0
726;0
727;4
728;0
729;1
730;1
731;0
732;0
733;0
734;1
735;0
736;0
737;0
738;0
739;0
740;0
741;0
742;0
743;1
744;0
745;0
746;5
747;0
748;0
749;0
750;0
751;0
752;0
753;0
754;0
755;0
756;3
757;5
758;1
759;0
760;1
761;12
762;0
763;7
764;0
765;4
766;1
767;1
768;5
769;6
770;2
771;5
772;12
773;1
774;4
775;2
776;34
777;9
778;4
779;0
780;2
781;0
782;3
783;7
784;24
785;12
786;0
787;5
788;3
789;15
790;20
791;14
792;15
793;4
794;11
795;19
796;4
797;0
798;4
799;0
800;3
801;0
802;3
803;3
804;2
805;0
806;1
807;4
808;5
809;12
810;9
811;1
812;8
813;10
814;2
815;2
816;7
817;5
818;4
819;6
820;3
821;5
822;6
823;8
824;11
825;0
826;1
827;0
828;5
829;2
830;1
831;0
832;0
833;1
834;0
835;0
836;0
837;0
838;2
839;0
840;0
841;0
842;0
843;0
844;0
845;0
846;1
847;0
848;0
849;0
850;2
851;0
852;0
853;0
854;7
855;0
856;2
857;2
858;0
859;0
860;0
861;1
862;0
863;0
864;0
865;0
866;0
867;0
868;0
869;0
870;0
871;0
872;0
873;2
874;2
875;0
876;0
877;0
878;0
879;0
880;0
881;0
882;1
883;0
884;2
885;0
886;0
887;2
888;3
889;3
890;3
891;0
892;6
893;1
894;0
895;5
896;0
897;0
898;7
899;7
900;1
901;1
902;7
903;16
904;9
905;1
906;5
907;4
908;0
909;5
910;5
911;11
912;8
913;0
914;3
915;7
916;8
917;13
918;9
919;20
920;13
921;14
922;9
923;0
924;0
925;2
926;0
927;1
928;0
929;7
930;8
931;2
932;1
933;0
934;5
935;0
936;21
937;5
938;2
939;4
940;7
941;0
942;2
943;6
944;8
945;1
946;16
947;5
948;7
949;7
950;6
951;1
952;1
953;1
954;0
955;2
956;0
957;0
958;0
959;0
960;0
961;0
962;0
963;0
964;0
965;0
966;0
967;0
968;2
969;0
970;0
971;2
972;0
973;0
974;0
975;0
976;0
977;1
978;0
979;0
980;0
981;2
982;1
983;0
984;5
985;0
986;0
987;0
988;0
989;0
990;0
991;0
992;0
993;0
994;0
995;0
996;0
997;0
998;0
999;0
1000;1
1001;0
1002;0
1003;0
1004;0
1005;0
1006;0
1007;0
1008;0
1009;0
1010;0
1011;0
1012;1
1013;0
1014;0
1015;0
1016;6
1017;3
1018;5
1019;0
1020;3
1021;0
1022;3
1023;2
1024;3
1025;1
1026;6
1027;11
1028;2
1029;1
1030;1
1031;18
1032;14
1033;0
1034;3
1035;0
1036;0
1037;6
1038;5
1039;16
1040;8
1041;1
1042;6
1043;9
1044;9
1045;12
1046;9
1047;10
1048;11
1049;13
1050;9
1051;3
1052;0
1053;6
1054;0
1055;2
1056;0
1057;5
1058;0
1059;3
1060;0
1061;2
1062;3
1063;0
1064;23
1065;9
1066;0
1067;2
1068;11
1069;3
1070;0
1071;13
1072;5
1073;1
1074;18
1075;5
1076;10
1077;8
1078;9
1079;2
1080;2
1081;4
1082;0
1083;2
1084;1
1085;0
1086;0
1087;0
1088;0
1089;0
1090;1
1091;0
1092;0
1093;0
1094;0
1095;0
1096;1
1097;0
1098;0
1099;2
1100;0
1101;2
1102;0
1103;0
1104;0
1105;1
1106;0
1107;0
1108;1
1109;1
1110;1
1111;0
1112;1
1113;0
1114;0
1115;0
1116;1
1117;0
1118;0
1119;0
1120;0
1121;0
1122;0
1123;0
1124;0
1125;0
1126;0
1127;0
1128;1
1129;0
1130;3
1131;0
1132;0
1133;0
1134;0
1135;0
1136;0
1137;0
1138;0
1139;0
1140;3
1141;0
1142;0
1143;2
1144;4
1145;5
1146;3
1147;0
1148;7
1149;5
1150;1
1151;1
1152;0
1153;2
1154;14
1155;6
1156;3
1157;2
1158;3
1159;19
1160;12
1161;1
1162;3
1163;4
1164;0
1165;6
1166;3
1167;18
1168;2
1169;0
1170;8
1171;4
1172;5
1173;14
1174;9
1175;2
1176;10
1177;19
1178;4
1179;3
1180;0
1181;7
1182;0
1183;1
1184;0
1185;2
1186;4
1187;4
1188;0
1189;0
1190;4
1191;2
1192;12
1193;11
1194;0
1195;3
1196;8
1197;0
1198;0
1199;14
1200;3
1201;3
1202;17
1203;4
1204;5
1205;4
1206;7
1207;0
1208;1
1209;2
1210;0
1211;4
1212;2
1213;0
1214;0
1215;0
1216;0
1217;0
1218;0
1219;0
1220;0
1221;0
1222;0
1223;0
1224;0
1225;0
1226;0
1227;1
1228;0
1229;0
1230;0
1231;0
1232;1
1233;0
1234;0
1235;0
1236;0
1237;1
1238;0
1239;1
1240;2
1241;0
1242;0
1243;0
1244;1
1245;0
1246;0
1247;0
1248;0
1249;0
1250;0
1251;0
1252;0
1253;0
1254;0
1255;0
1256;0
1257;0
1258;3
1259;0
1260;0
1261;0
1262;0
1263;0
1264;0
1265;0
1266;1
1267;0
1268;6
1269;0
1270;0
1271;3
1272;2
1273;3
1274;7
1275;0
1276;2
1277;3
1278;1
1279;1
1280;3
1281;2
1282;6
1283;5
1284;7
1285;2
1286;2
1287;19
1288;19
1289;3
1290;4
1291;5
1292;0
1293;4
1294;10
1295;21
1296;10
1297;0
1298;1
1299;4
1300;9
1301;18
1302;12
1303;7
1304;14
1305;16
1306;5
1307;6
1308;0
1309;3
1310;0
1311;0
1312;0
1313;2
1314;1
1315;2
1316;1
1317;2
1318;3
1319;2
1320;27
1321;11
1322;0
1323;2
1324;9
1325;1
1326;2
1327;12
1328;2
1329;0
1330;13
1331;6
1332;7
1333;2
1334;7
1335;0
1336;0
1337;0
1338;0
1339;0
1340;1
1341;0
1342;0
1343;0
1344;0
1345;0
1346;0
1347;0
1348;0
1349;0
1350;0
1351;0
1352;0
1353;0
1354;0
1355;0
1356;0
1357;0
1358;0
1359;0
1360;2
1361;0
1362;0
1363;0
1364;0
1365;4
1366;0
1367;2
1368;0
1369;0
1370;2
1371;0
1372;0
1373;0
1374;0
1375;0
1376;0
1377;0
1378;0
1379;0
1380;0
1381;1
1382;0
1383;0
1384;0
1385;0
1386;1
1387;0
1388;0
1389;0
1390;0
1391;0
1392;0
1393;0
1394;0
1395;0
1396;0
1397;0
1398;0
1399;4
1400;6
1401;4
1402;7
1403;1
1404;3
1405;2
1406;0
1407;0
1408;1
1409;1
1410;0
1411;5
1412;2
1413;2
1414;1
1415;19
1416;8
1417;0
1418;2
1419;6
1420;0
1421;3
1422;2
1423;9
1424;13
1425;0
1426;4
1427;5
1428;7
1429;16
1430;10
1431;9
1432;4
1433;10
1434;5
1435;3
1436;0
1437;2
1438;0
1439;1
1440;1
1441;2
1442;1
1443;3
1444;3
1445;4
1446;3
1447;3
1448;22
1449;5
1450;1
1451;8
1452;9
1453;1
1454;0
1455;13
1456;2
1457;6
1458;18
1459;1
1460;2
1461;2
1462;3
1463;0
1464;0
1465;0
1466;0
1467;1
1468;1
1469;0
1470;0
1471;0
1472;0
1473;0
1474;0
1475;0
1476;0
1477;0
1478;0
1479;0
1480;0
1481;0
1482;0
1483;1
1484;0
1485;0
1486;0
1487;0
1488;1
1489;1
1490;0
1491;0
1492;0
1493;0
1494;0
1495;0
1496;1
1497;0
1498;0
1499;0
1500;1
1501;0
1502;0
1503;0
1504;0
1505;0
1506;0
1507;0
1508;0
1509;0
1510;0
1511;0
1512;0
1513;0
